"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1992.4.106/bampfa_1992-4-106_36_1.tif","workspace://SpacesStore/9ef11690-f098-4cc5-8716-1b9d208994d3","bampfa_1992-4-106_36_1.tif","image/tiff","26986278","","","","","","","","","Other Things Seen, Other Things Heard (slides)","Cha, Theresa Hak Kyung","Tue Jun 10 10:22:57 PDT 2014","","Thu Jul 25 17:57:09 PDT 2013","ARTIST: Cha, Theresa Hak Kyung NATIONALITY: United States, born Korea DATE_OF_WORK: 1978 MATERIALS: 48 black and white slides. DIMENSIONS: 0 x 0 CREDIT_LINE: Gift of the Theresa Hak Kyung Cha Memorial Foundation","233023","305462","","","3718","","","2700","2700","","","Inch","","","","","","2419","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1992.4.137/bampfa_1992-4-137_1-75_a.jpg","workspace://SpacesStore/f88e4e3d-8870-4b80-aca8-4c5c69195834","bampfa_1992-4-137_1-75_a.jpg","image/jpeg","7722","","","","","","","","","Earth","Cha, Theresa Hak Kyung","Tue Jun 10 10:28:02 PDT 2014","","Thu Jul 25 18:07:56 PDT 2013","ARTIST: Cha, Theresa Hak Kyung NATIONALITY: United States, born Korea DATE_OF_WORK: 1976 MATERIALS: Artist's book. Soft bound. 45 pages. DIMENSIONS: 11 x 8 -1/2 CREDIT_LINE: Gift of the Theresa Hak Kyung Cha Memorial Foundation","233023","305462","","","352","","","","","","","","","","","","","480","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1992.4.227/bampfa_1992-4-227_31_3.jpg","workspace://SpacesStore/9211de92-2017-4be3-9c93-0348dc5e3b89","bampfa_1992-4-227_31_3.jpg","image/jpeg","7193","","","","","","","","","Other Things Seen, Other Things Heard (slides)","Cha, Theresa Hak Kyung","Tue Jun 10 10:34:42 PDT 2014","","Tue Jul 30 17:33:42 PDT 2013","ARTIST: Cha, Theresa Hak Kyung NATIONALITY: United States, born Korea DATE_OF_WORK: 1978 MATERIALS: 37 black and white slides. DIMENSIONS: 0 x 0 CREDIT_LINE: Gift of the Theresa Hak Kyung Cha Memorial Foundation","233023","305462","","","150","","","","","","","","","","","","","98","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1992.4.411/bampfa_1992-4-411_1_a.jpg","workspace://SpacesStore/f12bc9fb-72b4-46cf-a7a3-86fde2f510e6","bampfa_1992-4-411_1_a.jpg","image/jpeg","49487","","","","","","","","","Statement of Proposed Study- Holland","Cha, Theresa Hak Kyung","Tue Jun 10 10:40:43 PDT 2014","","Thu Jul 25 19:23:12 PDT 2013","ARTIST: Cha, Theresa Hak Kyung NATIONALITY: United States, born Korea DATE_OF_WORK: nd MATERIALS: Photocopy. (2 copies) DIMENSIONS: 11 x 8 -1/2 CREDIT_LINE: Gift of the Theresa Hak Kyung Cha Memorial Foundation","233023","305462","","","347","","","","","","","","","","","","","480","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1992.4.52/bampfa_1992-4-52_17_3.jpg","workspace://SpacesStore/3c308d22-b16c-47d3-a231-22e06e46e94c","bampfa_1992-4-52_17_3.jpg","image/jpeg","6523","","","","","","","","","Barren Cave Mute","Cha, Theresa Hak Kyung","Tue Jun 10 10:44:12 PDT 2014","","Thu Jul 25 19:36:38 PDT 2013","ARTIST: Cha, Theresa Hak Kyung NATIONALITY: United States, born Korea DATE_OF_WORK: 1974 MATERIALS: 26 black and white photographs. Typewritten text on paper DIMENSIONS: 8 x 10 CREDIT_LINE: Gift of the Theresa Hak Kyung Cha Memorial Foundation","233023","305462","","","150","","","","","","","","","","","","","120","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1994.34/bampfa_1994-34_001_2.jpeg","workspace://SpacesStore/b9273993-6b3c-4899-9732-82e371ee8baa","bampfa_1994-34_001_2.jpeg","image/jpeg","31057","","","","","","","","","David at Grove Street, Boston, 1972","Goldin, Nan","Wed Oct 08 17:30:57 PDT 2014","","Wed Oct 08 17:30:55 PDT 2014","ARTIST: Goldin, Nan NATIONALITY: United States DATE_OF_WORK: 1972 MATERIALS: gelatin silver print DIMENSIONS: 18-3/4 x 12-5/8 in. CREDIT_LINE: GIft of the artist","233023","233023","","","385","","","","","","","","","","","","","560","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1995.46.225/bampfa_1995-46-225_001_4.tif","workspace://SpacesStore/6cc0008f-e312-4598-a156-874d3aef2472","bampfa_1995-46-225_001_4.tif","image/tiff","38836340","","","","","","","","","Letter to Museum of Contemporary Art from Ituyo Ootami","Ootami, Ituyo; Gutai","Thu Oct 09 15:35:59 PDT 2014","","Thu Oct 09 15:35:52 PDT 2014","ARTIST: Ootami, Ituyo; Gutai NATIONALITY: Japan DATE_OF_WORK: 1974 MATERIALS: black and blue ink, fingerprints in red and black ink, and stamp mark in black ink on postcard with postmark and one postage stamp, two-sided DIMENSIONS: 4 x 5-3/4 in. CREDIT_LINE: University of California, Berkeley Art Museum and Pacific Film Archive; Gift of the Naify Family","305462","305462","","","4350","","Adobe Photoshop CS6 (Macintosh)","720","720","Expression 10000XL","","Inch","","EPSON","1","","","2974","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1995.46.358/bampfa_1995-46-358_002_4.tif","workspace://SpacesStore/dd6302d7-2e0c-48d7-94f4-b97768c86616","bampfa_1995-46-358_002_4.tif","image/tiff","38385736","","","","","","","","","Letter to Allan Fish [a.k.a. Tom Marioni] from Ray Johnson","Johnson, Ray","Thu Jan 15 16:51:35 PST 2015","","Thu Jan 15 16:51:31 PST 2015","ARTIST: Johnson, Ray NATIONALITY: United States DATE_OF_WORK: 1970 MATERIALS: Typewritten text, black and blue ink, pink colored pencil, and stamp marks in black ink on postcard with postmark DIMENSIONS: Postcard: 3 1/4 x 5 1/2 in. CREDIT_LINE: University of California, Berkeley Art Museum and Pacific Film Archive; Gift of the Naify Family","305462","305462","","","4579","","Adobe Photoshop CS6 (Macintosh)","800","800","Expression 10000XL","","Inch","","EPSON","1","","","2788","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1996.7.16/bampfa_1996-7-16_001_3.jpeg","workspace://SpacesStore/6bead1a1-c2f8-40c3-98d7-d3ad6b30c83d","bampfa_1996-7-16_001_3.jpeg","image/jpeg","541721","","","","","","","","","Young Woman Bartering with an Indian","Unknown","Thu Apr 24 12:01:41 PDT 2014","","Thu Apr 24 12:01:39 PDT 2014","ARTIST: Unknown NATIONALITY: United States DATE_OF_WORK: 1838 MATERIALS: oil on velvet DIMENSIONS: 24 x 18 CREDIT_LINE: Gift of W.B. Carnochan and Nancy Edebo","233023","233023","","","1368","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","1624","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1996.7.17/bampfa_1996-7-17_001_3.jpeg","workspace://SpacesStore/1dc785e8-d5c8-4987-8169-4f8b457ed04f","bampfa_1996-7-17_001_3.jpeg","image/jpeg","463544","","","","","","","","","Mount Vernon","Unknown","Thu Apr 24 12:01:42 PDT 2014","","Thu Apr 24 12:01:41 PDT 2014","ARTIST: Unknown NATIONALITY: United States DATE_OF_WORK: 1840 MATERIALS: pastel on paper DIMENSIONS: 15 -1/2 x 22 -1/2 CREDIT_LINE: Gift of W.B. Carnochan and Nancy Edebo","233023","233023","","","1603","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","1061","","",""
